target.name	accession	query.name	accession.1	sequence.E.value	sequence.score	sequence.bias	domain.E.value	domain.score	domain.bias	exp	reg	clu	ov	env	dom	rep	inc	description.of.target	scaffold	genome
TARA_SAMEA2622766_METAG-scaffold_31715-gene_3	-	PTHR42821.SF1.pir	-	7.3e-141	482.4	3	8.2e-141	482.2	3	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622766_METAG-scaffold_31715-	TARA_SAMEA2622766_METAG_HLAHPDPE
TARA_SAMEA2622097_METAG-scaffold_45217-gene_1	-	PTHR42821.SF1.pir	-	8e-140	478.9	0.6	9.5e-140	478.7	0.6	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_45217-	TARA_SAMEA2622097_METAG_CJDFGJHP
TARA_SAMEA2621066_METAG-scaffold_292-gene_22	-	PTHR42821.SF1.pir	-	3.9e-138	473.4	1.6	5.2e-138	473	1.6	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621066_METAG-scaffold_292-	TARA_SAMEA2621066_METAG_EHDOKGKK
TARA_SAMEA2622097_METAG-scaffold_881-gene_27	-	PTHR42821.SF1.pir	-	3.9e-138	473.4	1.6	5.2e-138	473	1.6	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_881-	TARA_SAMEA2622097_METAG_CBGOIALJ
TARA_SAMEA2621013_METAG-scaffold_231-gene_27	-	PTHR42821.SF1.pir	-	6.8e-138	472.6	1.5	9e-138	472.2	1.5	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621013_METAG-scaffold_231-	TARA_SAMEA2621013_METAG_FHBCEPPH
TARA_SAMEA2622710_METAG-scaffold_6427-gene_3	-	PTHR42821.SF1.pir	-	9.9e-138	472	1.4	1.2e-137	471.8	1.4	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622710_METAG-scaffold_6427-	TARA_SAMEA2622710_METAG_MPIJGIBI
TARA_SAMEA2621013_METAG-scaffold_1066-gene_7	-	PTHR42821.SF1.pir	-	8.4e-135	462.4	0.9	1e-134	462.1	0.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621013_METAG-scaffold_1066-	TARA_SAMEA2621013_METAG_FHBCEPPH
TARA_SAMEA2621066_METAG-scaffold_125-gene_37	-	PTHR42821.SF1.pir	-	8.4e-135	462.4	0.9	1e-134	462.1	0.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621066_METAG-scaffold_125-	TARA_SAMEA2621066_METAG_EHDOKGKK
TARA_SAMEA2622097_METAG-scaffold_90-gene_63	-	PTHR42821.SF1.pir	-	8.4e-135	462.4	0.9	1e-134	462.1	0.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_90-	TARA_SAMEA2622097_METAG_CBGOIALJ
TARA_SAMEA2621779_METAG-scaffold_56-gene_101	-	PTHR42821.SF1.pir	-	9.8e-135	462.1	3.2	1e-134	462	3.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621779_METAG-scaffold_56-	TARA_SAMEA2621779_METAG_EDDAIACP
TARA_SAMEA2621839_METAG-scaffold_18346-gene_6	-	PTHR42821.SF1.pir	-	9.8e-135	462.1	3.2	1e-134	462	3.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621839_METAG-scaffold_18346-	TARA_SAMEA2621839_METAG_LMFFHMLM
TARA_SAMEA2622452_METAG-scaffold_1997-gene_15	-	PTHR42821.SF1.pir	-	9.8e-135	462.1	3.2	1e-134	462	3.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622452_METAG-scaffold_1997-	TARA_SAMEA2622452_METAG_EKNFIIOG
TARA_SAMEA2623446_METAG-scaffold_15878-gene_3	-	PTHR42821.SF1.pir	-	1.1e-133	458.7	6.5	1.2e-133	458.6	6.5	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623446_METAG-scaffold_15878-	TARA_SAMEA2623446_METAG_ICCHMOAE
TARA_SAMEA2623463_METAG-scaffold_383-gene_11	-	PTHR42821.SF1.pir	-	1.1e-133	458.6	1	1.3e-133	458.4	1	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623463_METAG-scaffold_383-	TARA_SAMEA2623463_METAG_JILLCGBA
TARA_SAMEA2623350_METAG-scaffold_2000-gene_1	-	PTHR42821.SF1.pir	-	1.3e-133	458.4	4.4	1.6e-133	458.1	4.4	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623350_METAG-scaffold_2000-	TARA_SAMEA2623350_METAG_CMMNJGMG
TARA_SAMEA2622097_METAG-scaffold_791-gene_34	-	PTHR42821.SF1.pir	-	4.4e-132	453.4	3.6	5.3e-132	453.1	3.6	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_791-	TARA_SAMEA2622097_METAG_CJDFGJHP
TARA_SAMEA2622376_METAG-scaffold_3388-gene_6	-	PTHR42821.SF1.pir	-	4.4e-132	453.4	3.6	5.3e-132	453.1	3.6	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622376_METAG-scaffold_3388-	TARA_SAMEA2622376_METAG_BHCALEEO
TARA_SAMEA2621839_METAG-scaffold_8166-gene_3	-	PTHR42821.SF1.pir	-	8.6e-132	452.4	3.4	1e-131	452.1	3.4	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621839_METAG-scaffold_8166-	TARA_SAMEA2621839_METAG_PGLOPPIJ
TARA_SAMEA4397472_METAG-scaffold_8152-gene_3	-	PTHR42821.SF1.pir	-	2.4e-130	447.6	1.2	2.7e-130	447.5	1.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA4397472_METAG-scaffold_8152-	TARA_SAMEA4397472_METAG_CPDPGPAH
TARA_SAMEA2621487_METAG-scaffold_87-gene_1	-	PTHR42821.SF1.pir	-	2.2e-127	437.8	1.9	2.6e-127	437.6	1.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621487_METAG-scaffold_87-	TARA_SAMEA2621487_METAG_JEJEPAEM
TARA_SAMEA2621779_METAG-scaffold_3541-gene_1	-	PTHR42821.SF1.pir	-	2.2e-127	437.8	1.9	2.6e-127	437.6	1.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621779_METAG-scaffold_3541-	TARA_SAMEA2621779_METAG_BKOBJOML
TARA_SAMEA2621839_METAG-scaffold_12366-gene_6	-	PTHR42821.SF1.pir	-	2.2e-127	437.8	1.9	2.6e-127	437.6	1.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621839_METAG-scaffold_12366-	TARA_SAMEA2621839_METAG_MGLIPNEN
TARA_SAMEA2621132_METAG-scaffold_1258-gene_7	-	PTHR42821.SF1.pir	-	2.7e-127	437.6	2.2	3.6e-126	433.8	3.4	1.8	2	0	0	2	2	1	1	-	TARA_SAMEA2621132_METAG-scaffold_1258-	TARA_SAMEA2621132_METAG_AHPOBHIE
TARA_SAMEA2622376_METAG-scaffold_4522-gene_1	-	PTHR42821.SF1.pir	-	2.7e-127	437.5	2.4	3.3e-127	437.3	2.4	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622376_METAG-scaffold_4522-	TARA_SAMEA2622376_METAG_LCDBHBPD
TARA_SAMEA2622097_METAG-scaffold_1688-gene_6	-	PTHR42821.SF1.pir	-	6.5e-127	436.3	2.5	7.8e-127	436	2.5	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_1688-	TARA_SAMEA2622097_METAG_HBPMPIGL
TARA_SAMEA2623446_METAG-scaffold_5503-gene_7	-	PTHR42821.SF1.pir	-	9.2e-38	141.6	1.2	1e-37	141.5	1.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623446_METAG-scaffold_5503-	TARA_SAMEA2623446_METAG_EPNIPLIG
