,Hit.Name,Gene,E.Value,Score,Genome,KO
86,1032_TARA_SAMEA2591098_METAG_ELBPFDCK,K03781hits_moreStringent.align,3.6e-296,988.6,Alteromonas_macleodii_SAMEA2591098,K03781
87,397_2521172706,K03781hits_moreStringent.align,4e-296,988.5,Alteromonas_macleodii_Balearic_Sea_AD45,K03781
88,460_2561511203,K03781hits_moreStringent.align,4.6e-296,988.3,Alteromonas_macleodii__Ionian_Sea_U4_,K03781
89,489_2554235399,K03781hits_moreStringent.align,4.6e-296,988.3,Alteromonas_macleodii__Ionian_Sea_U7_,K03781
90,504_2554235400,K03781hits_moreStringent.align,4.6e-296,988.3,Alteromonas_macleodii__Ionian_Sea_U8_,K03781
91,958_BGEO_SAMN07136710_METAG_KAKDCGPF,K03781hits_moreStringent.align,4.6e-296,988.3,Alteromonas_mediterranea_SAMN07136710,K03781
92,492_642555105,K03781hits_moreStringent.align,8.1e-296,987.5,Alteromonas_mediterranea_DE,K03781
93,560_MALA_SAMN05422165_METAG_JAPLNBCC,K03781hits_moreStringent.align,8.1e-296,987.5,Alteromonas_mediterranea_SAMN05422165,K03781
94,2459_2844285455,K03781hits_moreStringent.align,8.5e-296,987.4,Alteromonas_abrolhosensis_PEL_68C,K03781
95,77_2855659987,K03781hits_moreStringent.align,8.5e-296,987.4,Alteromonas_abrolhosensis_PEL_67E,K03781
96,1982_TARA_SAMEA2591074_METAG_KDMPNFOL,K03781hits_moreStringent.align,8.6e-296,987.4,Alteromonas_mediterranea_SAMEA2591074,K03781
97,459_2687453642,K03781hits_moreStringent.align,8.6e-296,987.4,Alteromonas_mediterranea_UM8,K03781
98,467_2561511204,K03781hits_moreStringent.align,8.6e-296,987.4,Alteromonas_macleodii__Ionian_Sea_UM7_,K03781
99,468_2521172685,K03781hits_moreStringent.align,8.6e-296,987.4,Alteromonas_macleodii_AltDE1,K03781
100,469_2554235401,K03781hits_moreStringent.align,8.6e-296,987.4,Alteromonas_macleodii__Ionian_Sea_UM4b_,K03781
101,707_2687453526,K03781hits_moreStringent.align,8.6e-296,987.4,Alteromonas_mediterranea_U10,K03781
102,742_2721755799,K03781hits_moreStringent.align,1.3e-295,986.8,Alteromonas_mediterranea_RG65,K03781
103,1068_GCF_003443615.1,K03781hits_moreStringent.align,2.9e-295,985.6,Alteromonas_sp_BL110,K03781
104,3672_MARD_SAMN10134660_REFG_MMP10134660,K03781hits_moreStringent.align,2.9e-295,985.6,Alteromonas_sp_SAMN10134660,K03781
105,336_GCF_006517115.1,K03781hits_moreStringent.align,3.3e-295,985.5,Alteromonas_mediterranea_PT15,K03781
106,1487_TARA_SAMEA2622694_METAG_CCCHGPBM,K03781hits_moreStringent.align,3.9e-295,985.2,Alteromonas_macleodii_SAMEA2622694,K03781
107,2983_2524614846,K03781hits_moreStringent.align,4e-295,985.2,Alteromonas_sp_ALT199,K03781
108,415_2785510739,K03781hits_moreStringent.align,1.4e-294,983.4,Alteromonas_macleodii_EZ55,K03781
109,2961_TARA_SAMEA2622677_METAG_NFILEFMO,K03781hits_moreStringent.align,4.9e-294,981.6,Alteromonas_macleodii_SAMEA2622677,K03781
110,3411_MALA_SAMN05422164_METAG_ENHHGIGI,K03781hits_moreStringent.align,4.9e-294,981.6,Alteromonas_macleodii_SAMN05422164,K03781
111,318_BGEO_SAMN07136709_METAG_OCCKODGL,K03781hits_moreStringent.align,5.3e-294,981.5,Alteromonas_sp_SAMN07136709,K03781
112,3278_BGEO_SAMN07136715_METAG_KOEDIAMF,K03781hits_moreStringent.align,5.3e-294,981.5,Alteromonas_sp_SAMN07136715,K03781
113,1516_TARA_SAMEA2622695_METAG_CLGIMKPC,K03781hits_moreStringent.align,7.5e-294,981,Alteromonas_macleodii_SAMEA2622695,K03781
114,2555_TARA_SAMEA2622738_METAG_BIOCPOLN,K03781hits_moreStringent.align,1.2e-293,980.3,Alteromonas_macleodii_SAMEA2622738,K03781
115,1366_TARA_SAMEA2623513_METAG_EOFNCJHB,K03781hits_moreStringent.align,2.5e-293,979.3,Alteromonas_macleodii_SAMEA2623513,K03781
116,3041_TARA_SAMEA2620882_METAG_GFDHHHGO,K03781hits_moreStringent.align,2.5e-293,979.3,Alteromonas_macleodii_SAMEA2620882,K03781
117,1158_2802429384,K03781hits_moreStringent.align,3.7e-292,975.4,Alteromonas_sp_NP46,K03781
118,3160_TARA_SAMEA2621076_METAG_KBKFGPDA,K03781hits_moreStringent.align,6.7e-292,974.6,Alteromonas_macleodii_SAMEA2621076,K03781
119,1064_BGEO_SAMN07136708_METAG_KMOHFEJM,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMN07136708,K03781
120,1078_TARA_SAMEA2621092_METAG_JEDFGNEM,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621092,K03781
121,1087_TARA_SAMEA2621132_METAG_LILFEADH,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621132,K03781
122,1188_TARA_SAMEA2621155_METAG_BMEOCPIO,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621155,K03781
123,1261_TARA_SAMEA2622690_METAG_DLAHHAJP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622690,K03781
124,1293_TARA_SAMEA2621101_METAG_LOPADGMB,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621101,K03781
125,1306_TARA_SAMEA2622823_METAG_PBNJCJBB,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622823,K03781
126,1347_TARA_SAMEA2621176_METAG_JENGLJNG,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621176,K03781
127,1352_TARA_SAMEA2621013_METAG_FHBCEPPH,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621013,K03781
128,1399_TARA_SAMEA2620198_METAG_KLFKEFEP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2620198,K03781
129,1435_2802429350,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_sp_ARS20,K03781
130,1669_TARA_SAMEA2622696_METAG_FJMHLBNK,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622696,K03781
131,1817_TARA_SAMEA2621044_METAG_NOLHAABM,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621044,K03781
132,1888_TARA_SAMEA2621204_METAG_JIFCLNHI,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621204,K03781
133,197_2802429354,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_sp_CPC327,K03781
134,1984_TARA_SAMEA2620882_METAG_GJEPBGGD,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2620882,K03781
135,2143_TARA_SAMEA2620065_METAG_OKKLCHLP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2620065,K03781
136,2188_TARA_SAMEA2622678_METAG_EMNMIPDN,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622678,K03781
137,2190_TARA_SAMEA2622119_METAG_AHJCKKBI,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622119,K03781
138,2193_TARA_SAMEA2622402_METAG_IKPHBABN,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622402,K03781
139,2195_TARA_SAMEA2623135_METAG_DJILNNCH,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2623135,K03781
140,2211_TARA_SAMEA2623314_METAG_DPHFBFLK,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2623314,K03781
141,2252_TARA_SAMEA2623826_METAG_OCIHHAIO,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2623826,K03781
142,2259_TARA_SAMEA2621099_METAG_AKPJHAOI,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621099,K03781
143,2322_TARA_SAMEA2621020_METAG_DGKNMHLE,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621020,K03781
144,2336_TARA_SAMEA2621216_METAG_ANKHBPBN,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621216,K03781
145,2369_TARA_SAMEA2620995_METAG_BFDFBIKP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2620995,K03781
146,2505_TARA_SAMEA2622149_METAG_IIKHAJAF,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622149,K03781
147,2507_TARA_SAMEA2623794_METAG_GMMKMDFK,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2623794,K03781
148,2625_TARA_SAMEA2621295_METAG_EFHEAJNM,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621295,K03781
149,2645_TARA_SAMEA2621242_METAG_MFCNHMLF,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621242,K03781
150,2687_TARA_SAMEA2622499_METAG_BNLJGNGC,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622499,K03781
151,2757_TARA_SAMEA2622656_METAG_ONBBOINN,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622656,K03781
152,2773_TARA_SAMEA2622197_METAG_COANOGOL,K03781hits_moreStringent.align,6.6e-291,971.3,COANOGOL,K03781
153,27_2802429356,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_sp_EAC37,K03781
154,2830_TARA_SAMEA2622801_METAG_LFPDDPPB,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622801,K03781
155,2839_TARA_SAMEA2622673_METAG_KABGAJCP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622673,K03781
156,2885_TARA_SAMEA2621066_METAG_EHDOKGKK,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621066,K03781
157,2899_TARA_SAMEA2622695_METAG_ILPHFPJJ,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622695,K03781
158,2901_TARA_SAMEA2623513_METAG_PGGKNGAJ,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2623513,K03781
159,2990_TARA_SAMEA2621076_METAG_GINCPJEM,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621076,K03781
160,3054_TARA_SAMEA2620217_METAG_KNGANELN,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2620217,K03781
161,3104_TARA_SAMEA2622738_METAG_JDKGJOOG,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622738,K03781
162,3144_TARA_SAMEA2622737_METAG_EHIMIIMP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622737,K03781
163,329_TARA_SAMEA2622074_METAG_LMCNBJON,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622074,K03781
164,3549_GCF_015767655.1,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_sp_B31_7,K03781
165,361_TARA_SAMEA2621037_METAG_BOIEAKJP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621037,K03781
166,373_MALA_SAMN05422121_METAG_OGAMKLHO,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMN05422121,K03781
167,468_TARA_SAMEA2623295_METAG_JAJGGAMP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2623295,K03781
168,486_TARA_SAMN05326644_METAG_PON00061,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMN05326644,K03781
169,490_2639762924,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_DE170,K03781
170,612_TARA_SAMEA2622097_METAG_CBGOIALJ,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622097,K03781
171,637_TARA_SAMEA2622923_METAG_FFMAPNPA,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2622923,K03781
172,701_TARA_SAMEA2621021_METAG_JAJGGMJP,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621021,K03781
173,850_TARA_SAMEA2619974_METAG_DFCIFEPC,K03781hits_moreStringent.align,6.6e-291,971.3,DFCIFEPC,K03781
174,965_TARA_SAMEA2621232_METAG_LHMCJHIB,K03781hits_moreStringent.align,6.6e-291,971.3,Alteromonas_australica_SAMEA2621232,K03781
175,692_BGEO_SAMN07136710_METAG_AFAMJGBL,K03781hits_moreStringent.align,7.6e-291,971.1,Alteromonas_australica_SAMN07136710,K03781
176,1647_TARA_SAMEA2591132_METAG_KHLCFNJJ,K03781hits_moreStringent.align,9.9e-291,970.7,Alteromonas_australica_SAMEA2591132,K03781
177,2365_TARA_SAMEA2621779_METAG_AKPKIDGA,K03781hits_moreStringent.align,1.6e-290,970,Alteromonas_australica_SAMEA2621779,K03781
178,836_TARA_SAMEA2623426_METAG_KGGHKKNJ,K03781hits_moreStringent.align,1.6e-290,970,Alteromonas_australica_SAMEA2623426,K03781
179,2941_MALA_SAMN05422104_METAG_FCEGNAFB,K03781hits_moreStringent.align,2.8e-290,969.2,Alteromonas_australica_SAMN05422104,K03781
180,2906_MALA_SAMN05421660_METAG_DPEMGBDK,K03781hits_moreStringent.align,4.2e-290,968.6,DPEMGBDK,K03781
181,449_2585427644,K03781hits_moreStringent.align,9.3e-290,967.5,Alteromonas_australica_H17,K03781
182,307_2802429386,K03781hits_moreStringent.align,6.2e-289,964.8,Alteromonas_sp_NP15,K03781
183,3353_TARA_SAMEA2591132_METAG_KHLCFNJJ,K03781hits_moreStringent.align,7.3e-289,964.5,Alteromonas_australica_SAMEA2591132,K03781
184,3406_TARA_SAMEA2620734_METAG_NONNIGNP,K03781hits_moreStringent.align,2.3e-288,962.9,Alteromonas_macleodii_SAMEA2620734,K03781
185,1801_MALA_SAMN05422110_METAG_AHCIDJHN,K03781hits_moreStringent.align,4e-284,948.9,Alteromonas_macleodii_SAMN05422110,K03781
186,1538_MALA_SAMN05421901_METAG_KALOONEP,K03781hits_moreStringent.align,1.3e-283,947.2,Alteromonas_macleodii_SAMN05421901,K03781
187,1052_2841454579,K03781hits_moreStringent.align,1.6e-283,946.9,Alteromonas_sp_RKMC_009,K03781
188,1033_TARA_SAMEA2622677_METAG_NFILEFMO,K03781hits_moreStringent.align,2.1e-283,946.5,Alteromonas_macleodii_SAMEA2622677,K03781
189,1257_MAG31,K03781hits_moreStringent.align,2.1e-283,946.5,Alteromonas_macleodii_MAG31,K03781
190,1460_TARA_SAMEA2620000_METAG_KDOCHGCC,K03781hits_moreStringent.align,2.1e-283,946.5,Alteromonas_macleodii_SAMEA2620000,K03781
191,2384_TARA_SAMEA2622738_METAG_BIOCPOLN,K03781hits_moreStringent.align,2.1e-283,946.5,Alteromonas_macleodii_SAMEA2622738,K03781
192,492_MALA_SAMN05422153_METAG_NIGOHOLK,K03781hits_moreStringent.align,2.1e-283,946.5,Alteromonas_macleodii_SAMN05422153,K03781
193,515_MALA_SAMN05422127_METAG_GFKECADP,K03781hits_moreStringent.align,2.1e-283,946.5,Alteromonas_macleodii_SAMN05422127,K03781
