,genomesnames$name,K03781,K03782,total
108,Alteromonas_macleodii_SAMN05421660,1,1,2
109,Alteromonas_macleodii_SAMN05421699,1,0,1
110,Alteromonas_macleodii_SAMN05421706,2,1,3
111,Alteromonas_macleodii_SAMN05421707,0,1,1
112,Alteromonas_macleodii_SAMN05421901,3,0,3
113,Alteromonas_macleodii_SAMN05421913,1,1,2
114,Alteromonas_australica_SAMN05422104,2,1,3
115,Alteromonas_macleodii_SAMN05422104,1,0,1
116,Alteromonas_macleodii_SAMN05422106,2,1,3
117,Alteromonas_macleodii_SAMN05422107,1,1,2
118,Alteromonas_macleodii_SAMN05422110,1,0,1
119,Alteromonas_macleodii_SAMN05422113,1,1,2
120,Alteromonas_macleodii_SAMN05422114,3,1,4
121,Alteromonas_macleodii_SAMN05422115,2,1,3
122,Alteromonas_macleodii_SAMN05422117,0,0,0
123,Alteromonas_confluentis_SAMN05422120,1,1,2
124,Alteromonas_macleodii_SAMN05422120,1,1,2
125,Alteromonas_sp_SAMN05422120,1,2,3
126,Alteromonas_macleodii_SAMN05422121,1,1,2
127,Alteromonas_australica_SAMN05422121,2,1,3
128,Alteromonas_macleodii_SAMN05422122,2,1,3
129,Alteromonas_macleodii_SAMN05422123,1,1,2
130,Alteromonas_macleodii_SAMN05422127,1,1,2
131,Alteromonas_macleodii_SAMN05422128,3,1,4
132,Alteromonas_sp_SAMN05422130,0,2,2
133,Alteromonas_macleodii_SAMN05422130,1,0,1
134,Alteromonas_macleodii_SAMN05422133,2,1,3
135,Alteromonas_macleodii_SAMN05422138,2,1,3
136,Alteromonas_macleodii_SAMN05422143,2,0,2
137,Alteromonas_macleodii_SAMN05422149,1,1,2
138,Alteromonas_macleodii_SAMN05422152,2,0,2
139,Alteromonas_macleodii_SAMN05422153,1,0,1
140,Alteromonas_macleodii_SAMN05422164,2,1,3
141,Alteromonas_mediterranea_SAMN05422165,1,1,2
142,Alteromonas_macleodii_SAMN05422165,1,1,2
143,Alteromonas_macleodii_SAMN05422168,1,1,2
144,Alteromonas_macleodii_SAMN05422169,1,1,2
145,Alteromonas_macleodii_SAMN05422183,2,1,3
146,Alteromonas_macleodii_SAMN05422188,2,1,3
147,Alteromonas_macleodii_SAMN05422191,1,1,2
148,Alteromonas_macleodii_SAMN05422195,2,1,3
149,Alteromonas_macleodii_SAMN05422226,2,1,3
150,Alteromonas_macleodii_SAMN05578452,3,1,4
151,Alteromonas_gracilis_SAMN07626136,1,1,2
152,Alteromonas_sp_SAMN10134660,2,2,4
153,Alteromonas_sp_SAMN10233659,1,1,2
154,Alteromonas_sp_SAMEA2591057,0,1,1
155,Alteromonas_sp_SAMEA2591074_BGMPHGLH,0,2,2
156,Alteromonas_sp_SAMEA2591074,0,2,2
157,Alteromonas_mediterranea_SAMEA2591074,1,1,2
158,Alteromonas_macleodii_SAMEA2591098,2,1,3
159,Alteromonas_mediterranea_SAMEA2591132,0,0,0
160,Alteromonas_australica_SAMEA2591132,3,2,5
161,Alteromonas_macleodii_SAMEA2619678,1,0,1
162,Alteromonas_macleodii_SAMEA2619907,1,0,1
163,Alteromonas_macleodii_SAMEA2619952,1,0,1
164,Alteromonas_macleodii_SAMEA2619970,2,1,3
165,Alteromonas_macleodii_SAMEA2620000,2,1,3
166,Alteromonas_macleodii_SAMEA2620021,2,1,3
167,Alteromonas_macleodii_SAMEA2620035,2,1,3
168,Alteromonas_macleodii_SAMEA2620065,2,1,3
169,Alteromonas_australica_SAMEA2620065,2,1,3
170,Alteromonas_macleodii_SAMEA2620097,2,0,2
171,Alteromonas_macleodii_SAMEA2620194,2,1,3
172,Alteromonas_australica_SAMEA2620198,2,1,3
173,Alteromonas_mediterranea_SAMEA2620198,0,1,1
174,Alteromonas_australica_SAMEA2620217,2,2,4
175,Alteromonas_macleodii_SAMEA2620217,2,1,3
176,Alteromonas_macleodii_SAMEA2620259,2,1,3
177,Alteromonas_macleodii_SAMEA2620413,2,1,3
178,Alteromonas_macleodii_SAMEA2620542,2,1,3
179,Alteromonas_macleodii_SAMEA2620734,2,1,3
180,Alteromonas_macleodii_SAMEA2620815,2,1,3
181,Alteromonas_macleodii_SAMEA2620828,1,1,2
182,Alteromonas_macleodii_SAMEA2620882,2,1,3
183,Alteromonas_australica_SAMEA2620882,2,2,4
184,Alteromonas_australica_SAMEA2620995,2,2,4
185,Alteromonas_macleodii_SAMEA2620995,2,1,3
186,Alteromonas_australica_SAMEA2621013,2,2,4
187,Alteromonas_australica_SAMEA2621020,2,2,4
188,Alteromonas_australica_SAMEA2621021,2,2,4
189,Alteromonas_macleodii_SAMEA2621021,2,1,3
190,Alteromonas_australica_SAMEA2621037,2,2,4
191,Alteromonas_macleodii_SAMEA2621037,1,1,2
192,Alteromonas_macleodii_SAMEA2621044,2,1,3
193,Alteromonas_australica_SAMEA2621044,2,2,4
194,Alteromonas_australica_SAMEA2621045,1,2,3
195,Alteromonas_australica_SAMEA2621066,2,2,4
196,Alteromonas_sp_SAMEA2621076,0,0,0
197,Alteromonas_australica_SAMEA2621076,2,2,4
198,Alteromonas_macleodii_SAMEA2621076,2,1,3
199,Alteromonas_sp_SAMEA2621092,0,0,0
200,Alteromonas_australica_SAMEA2621092,2,2,4
201,Alteromonas_australica_SAMEA2621099,2,2,4
202,Alteromonas_macleodii_SAMEA2621099,2,1,3
203,Alteromonas_australica_SAMEA2621101,2,1,3
204,Alteromonas_australica_SAMEA2621132,2,2,4
205,Alteromonas_australica_SAMEA2621155,2,2,4
206,Alteromonas_macleodii_SAMEA2621155,1,1,2
207,Alteromonas_australica_SAMEA2621176,2,2,4
208,Alteromonas_macleodii_SAMEA2621204,1,1,2
209,Alteromonas_australica_SAMEA2621204,2,2,4
210,Alteromonas_macleodii_SAMEA2622695,2,1,3
211,Alteromonas_australica_SAMEA2622695,2,2,4
212,Alteromonas_sp_SAMEA2622695,1,1,2
213,Alteromonas_australica_SAMEA2622696,2,2,4
214,Alteromonas_macleodii_SAMEA2621232,1,1,2
215,Alteromonas_australica_SAMEA2621232,2,2,4
216,Alteromonas_australica_SAMEA2621242,2,2,4
217,Alteromonas_sp_SAMEA2621204,0,0,0
218,Alteromonas_australica_SAMEA2621216,2,2,4
219,Alteromonas_sp_SAMEA2621216,1,1,2
220,Alteromonas_sp_SAMEA2621222,1,0,1
221,Alteromonas_macleodii_SAMEA2621260,2,1,3
222,Alteromonas_macleodii_SAMEA2621287,1,1,2
223,Alteromonas_australica_SAMEA2621295,2,2,4
224,Alteromonas_macleodii_SAMEA2621423,2,1,3
225,Alteromonas_sp_SAMEA2621487,1,2,3
226,Alteromonas_australica_SAMEA2621779,2,2,4
227,Alteromonas_sp_SAMEA2621779_BKOBJOML,1,1,2
228,Alteromonas_sp_SAMEA2621779,1,1,2
229,Alteromonas_australica_SAMEA2621812,1,1,2
230,Alteromonas_sp_SAMEA2621839,1,1,2
231,Alteromonas_macleodii_SAMEA2621839,1,1,2
232,Alteromonas_australica_SAMEA2622048,2,2,4
233,Alteromonas_sp_SAMEA2622048,1,1,2
234,Alteromonas_australica_SAMEA2622074,1,2,3
235,Alteromonas_australica_SAMEA2622097,2,2,4
236,Alteromonas_macleodii_SAMEA2622097,2,1,3
237,Alteromonas_sp_SAMEA2622097,1,1,2
238,Alteromonas_australica_SAMEA2622119,2,2,4
239,Alteromonas_macleodii_SAMEA2622119,1,1,2
240,Alteromonas_australica_SAMEA2622149,2,2,4
241,Alteromonas_macleodii_SAMEA2622149,1,1,2
242,Alteromonas_sp_SAMEA2622149,1,1,2
243,Alteromonas_macleodii_SAMEA2622197,2,1,3
244,Alteromonas_sp_SAMEA2622197,1,2,3
245,Alteromonas_sp_SAMEA2622219,0,1,1
246,Alteromonas_macleodii_SAMEA2622219,2,1,3
247,Alteromonas_macleodii_SAMEA2622336,2,1,3
248,Alteromonas_macleodii_SAMEA2622357,2,1,3
249,Alteromonas_sp_SAMEA2622362,0,0,0
250,Alteromonas_macleodii_SAMEA2622376,2,1,3
251,Alteromonas_sp_SAMEA2622376,1,1,2
252,Alteromonas_australica_SAMEA2622402,2,2,4
253,Alteromonas_macleodii_SAMEA2622402,2,1,3
254,Alteromonas_macleodii_SAMEA2622429,2,1,3
255,Alteromonas_sp_SAMEA2622429,1,1,2
256,Alteromonas_macleodii_SAMEA2622478,2,1,3
257,Alteromonas_macleodii_SAMEA2622499,2,1,3
258,Alteromonas_australica_SAMEA2622499,2,2,4
259,Alteromonas_macleodii_SAMEA2622545,2,1,3
260,Alteromonas_macleodii_SAMEA2622568,2,1,3
261,Alteromonas_sp_SAMEA2622652,0,1,1
262,Alteromonas_australica_SAMEA2622656,2,1,3
263,Alteromonas_sp_SAMEA2622658,1,1,2
264,Alteromonas_australica_SAMEA2622673,2,2,4
265,Alteromonas_sp_SAMEA2622676,1,1,2
266,Alteromonas_macleodii_SAMEA2622676,3,1,4
267,Alteromonas_sp_SAMEA2622677,1,1,2
268,Alteromonas_macleodii_SAMEA2622677,2,1,3
269,Alteromonas_australica_SAMEA2622678,2,2,4
270,Alteromonas_macleodii_SAMEA2622678,2,1,3
271,Alteromonas_australica_SAMEA2622690,2,2,4
272,Alteromonas_sp_SAMEA2622690,0,1,1
273,Alteromonas_macleodii_SAMEA2622694,1,1,2
274,Alteromonas_sp_SAMEA2622694,0,0,0
275,Alteromonas_australica_SAMN05326644,2,2,4
276,Alteromonas_sp_SAMN05326645,1,1,2
277,Alteromonas_sp_SAMN05326649,1,2,3
278,Alteromonas_mediterranea_SAMN05326650,0,0,0
279,Alteromonas_macleodii_SAMEA2622696,1,1,2
280,Alteromonas_australica_SAMEA2622716,1,2,3
281,Alteromonas_macleodii_SAMEA2622716,2,1,3
282,Alteromonas_sp_SAMEA2622716,1,1,2
283,Alteromonas_macleodii_SAMEA2622733,2,1,3
284,Alteromonas_sp_SAMEA2622733,0,1,1
285,Alteromonas_macleodii_SAMEA2622736,2,1,3
286,Alteromonas_australica_SAMEA2622737,2,2,4
287,Alteromonas_sp_SAMEA2622737,0,1,1
288,Alteromonas_macleodii_SAMEA2622737,1,0,1
289,Alteromonas_macleodii_SAMEA2622738,2,1,3
290,Alteromonas_australica_SAMEA2622738,2,1,3
291,Alteromonas_macleodii_SAMEA2622763,2,0,2
292,Alteromonas_macleodii_SAMEA2622765,2,1,3
293,Alteromonas_sp_SAMEA2622765,1,1,2
294,Alteromonas_macleodii_SAMEA2622799,1,1,2
295,Alteromonas_macleodii_SAMEA2622800,1,1,2
296,Alteromonas_sp_SAMEA2622801,0,1,1
297,Alteromonas_australica_SAMEA2622801,2,2,4
298,Alteromonas_macleodii_SAMEA2622801,2,1,3
299,Alteromonas_macleodii_SAMEA2622821,1,0,1
300,Alteromonas_macleodii_SAMEA2622823,1,1,2
301,Alteromonas_australica_SAMEA2622823,2,2,4
302,Alteromonas_macleodii_SAMEA2622837,2,1,3
303,Alteromonas_sp_SAMEA2622843,0,1,1
304,Alteromonas_macleodii_SAMEA2622843,2,1,3
305,Alteromonas_australica_SAMEA2622923,2,2,4
306,Alteromonas_sp_SAMEA2622923,0,2,2
307,Alteromonas_macleodii_SAMEA2622923,1,1,2
308,Alteromonas_macleodii_SAMEA2623098,2,1,3
309,Alteromonas_sp_SAMEA2623098,1,1,2
310,Alteromonas_australica_SAMEA2623135,2,2,4
311,Alteromonas_macleodii_SAMEA2623155,2,1,3
312,Alteromonas_australica_SAMEA2623295,2,2,4
313,Alteromonas_macleodii_SAMEA2623295,2,0,2
314,Alteromonas_macleodii_SAMEA2623314,2,1,3
315,Alteromonas_sp_SAMEA2623314,1,1,2
316,Alteromonas_australica_SAMEA2623314,2,2,4
317,Alteromonas_macleodii_SAMEA2623370,1,1,2
318,Alteromonas_macleodii_SAMEA2623390,2,1,3
319,Alteromonas_australica_SAMEA2623426,1,1,2
320,Alteromonas_macleodii_SAMEA2623513,2,1,3
321,Alteromonas_australica_SAMEA2623513,2,2,4
322,Alteromonas_macleodii_SAMEA2623649,2,1,3
323,Alteromonas_macleodii_SAMEA2623756,2,1,3
324,Alteromonas_australica_SAMEA2623794,2,1,3
325,Alteromonas_macleodii_SAMEA2623794,2,1,3
326,Alteromonas_australica_SAMEA2623826,2,2,4
327,Alteromonas_naphthalenivorans_SAMEA4396515,0,2,2
328,Alteromonas_naphthalenivorans_SAMEA4397023,0,2,2
329,Alteromonas_naphthalenivorans_SAMEA4397091,0,2,2
330,Alteromonas_naphthalenivorans_SAMEA4397157,0,2,2
331,Alteromonas_naphthalenivorans_SAMEA4397278,0,2,2
332,Alteromonas_naphthalenivorans_SAMEA4397516,0,1,1
333,Alteromonas_naphthalenivorans_SAMEA4397536,0,2,2
334,Alteromonas_naphthalenivorans_SAMEA4398001,0,2,2
335,Alteromonas_naphthalenivorans_SAMEA4398193,0,2,2
336,Alteromonas_sp_SAMN05326640,1,1,2
337,Alteromonas_macleodii_MAG10_FICUS,0,0,0
338,Alteromonas_macleodii_MAG31,0,0,0
339,Alteromonas_fortis_ALFOR1,0,0,0
