name	contigs_db_path
Alteromonas_macleodii_BGP14	2738541262.db
Alteromonas_macleodii_BGP6	2738541260.db
Alteromonas_macleodii_BGP9	2738541261.db
Alteromonas_macleodii_Black_Sea_11	2521172684.db
Alteromonas_macleodii_D7	2684623206.db
Alteromonas_macleodii_English_Channel_673	2521172683.db
Alteromonas_macleodii_EZ55	2785510739.db
Alteromonas_macleodii_HOT1A3	2687453488.db
Alteromonas_macleodii_MAG10_FICUS	MAG10_FICUS.db
Alteromonas_macleodii_MAG31	MAG31.db
Alteromonas_macleodii_MIT1002_Genome_closure	2738541267.db
Alteromonas_macleodii_QZ9_9	GCF_023805395.1.db
Alteromonas_macleodii_REDSEA_S09_B2	2651870151.db
Alteromonas_macleodii_REDSEA_S14_B11	2651870154.db
Alteromonas_macleodii_REDSEA_S15_B11	2651870155.db
Alteromonas_macleodii_SAMEA2619970	TARA_SAMEA2619970_METAG_GKNKAGAI-contigs.db
Alteromonas_macleodii_SAMEA2620021	TARA_SAMEA2620021_METAG_NHAIJEJL-contigs.db
Alteromonas_macleodii_SAMEA2620035	TARA_SAMEA2620035_METAG_KKMHIJLM-contigs.db
Alteromonas_macleodii_SAMEA2620259	TARA_SAMEA2620259_METAG_OHBFMFFC-contigs.db
Alteromonas_macleodii_SAMEA2620413	TARA_SAMEA2620413_METAG_HJGOFLNN-contigs.db
Alteromonas_macleodii_SAMEA2620542	TARA_SAMEA2620542_METAG_MEOGFAGI-contigs.db
Alteromonas_macleodii_SAMEA2620734	TARA_SAMEA2620734_METAG_NONNIGNP-contigs.db
Alteromonas_macleodii_SAMEA2620815	TARA_SAMEA2620815_METAG_EEKNENIE-contigs.db
Alteromonas_macleodii_SAMEA2620882	TARA_SAMEA2620882_METAG_GFDHHHGO-contigs.db
Alteromonas_macleodii_SAMEA2621021	TARA_SAMEA2621021_METAG_MKIGFGMC-contigs.db
Alteromonas_macleodii_SAMEA2621044	TARA_SAMEA2621044_METAG_JOAMDGOD-contigs.db
Alteromonas_macleodii_SAMEA2621260	TARA_SAMEA2621260_METAG_POCDJBFE-contigs.db
Alteromonas_macleodii_SAMEA2621423	TARA_SAMEA2621423_METAG_ACNBNNHJ-contigs.db
Alteromonas_macleodii_SAMEA2621839	TARA_SAMEA2621839_METAG_PGLOPPIJ-contigs.db
Alteromonas_macleodii_SAMEA2622097	TARA_SAMEA2622097_METAG_CJDFGJHP-contigs.db
Alteromonas_macleodii_SAMEA2622219	TARA_SAMEA2622219_METAG_OLKBBLOM-contigs.db
Alteromonas_macleodii_SAMEA2622336	TARA_SAMEA2622336_METAG_IANBPKNL-contigs.db
Alteromonas_macleodii_SAMEA2622357	TARA_SAMEA2622357_METAG_MMNPPCIF-contigs.db
Alteromonas_macleodii_SAMEA2622376	TARA_SAMEA2622376_METAG_BHCALEEO-contigs.db
Alteromonas_macleodii_SAMEA2622478	TARA_SAMEA2622478_METAG_OEBMNELG-contigs.db
Alteromonas_macleodii_SAMEA2622499	TARA_SAMEA2622499_METAG_AGKMCDCN-contigs.db
Alteromonas_macleodii_SAMEA2622545	TARA_SAMEA2622545_METAG_KEGJKDAO-contigs.db
Alteromonas_macleodii_SAMEA2622568	TARA_SAMEA2622568_METAG_DIBMGPDO-contigs.db
Alteromonas_macleodii_SAMEA2622676	TARA_SAMEA2622676_METAG_KGFLKMBD-contigs.db
Alteromonas_macleodii_SAMEA2622678	TARA_SAMEA2622678_METAG_NJLMMAFG-contigs.db
Alteromonas_macleodii_SAMEA2622694	TARA_SAMEA2622694_METAG_CCCHGPBM-contigs.db
Alteromonas_macleodii_SAMEA2622733	TARA_SAMEA2622733_METAG_LJOLBPGP-contigs.db
Alteromonas_macleodii_SAMEA2622736	TARA_SAMEA2622736_METAG_KEKDHEDF-contigs.db
Alteromonas_macleodii_SAMEA2622799	TARA_SAMEA2622799_METAG_POKHDFDG-contigs.db
Alteromonas_macleodii_SAMEA2622800	TARA_SAMEA2622800_METAG_PLGNBFNB-contigs.db
Alteromonas_macleodii_SAMEA2622821	TARA_SAMEA2622821_METAG_DGNNOPLM-contigs.db
Alteromonas_macleodii_SAMEA2622843	TARA_SAMEA2622843_METAG_KKMNMCOG-contigs.db
Alteromonas_macleodii_SAMEA2623098	TARA_SAMEA2623098_METAG_BOAFAAIF-contigs.db
Alteromonas_macleodii_SAMEA2623155	TARA_SAMEA2623155_METAG_HDJJLLJM-contigs.db
Alteromonas_macleodii_SAMEA2623295	TARA_SAMEA2623295_METAG_KGDGGJKN-contigs.db
Alteromonas_macleodii_SAMEA2623370	TARA_SAMEA2623370_METAG_BGGPHFHM-contigs.db
Alteromonas_macleodii_SAMEA2623390	TARA_SAMEA2623390_METAG_LDEBDOEH-contigs.db
Alteromonas_macleodii_SAMEA2623756	TARA_SAMEA2623756_METAG_DMBINDKP-contigs.db
Alteromonas_macleodii_SAMEA2623794	TARA_SAMEA2623794_METAG_NBFOODCE-contigs.db
Alteromonas_macleodii_SAMN05421563	MALA_SAMN05421563_METAG_OGDDIGDA-contigs.db
Alteromonas_macleodii_SAMN05421660	MALA_SAMN05421660_METAG_BCLNBHCC-contigs.db
Alteromonas_macleodii_SAMN05421706	MALA_SAMN05421706_METAG_CKJAFDPA-contigs.db
Alteromonas_macleodii_SAMN05421901	MALA_SAMN05421901_METAG_KALOONEP-contigs.db
Alteromonas_macleodii_SAMN05421913	MALA_SAMN05421913_METAG_FAHHIFON-contigs.db
Alteromonas_macleodii_SAMN05422106	MALA_SAMN05422106_METAG_IKNIELCH-contigs.db
Alteromonas_macleodii_SAMN05422107	MALA_SAMN05422107_METAG_FBOLMPMJ-contigs.db
Alteromonas_macleodii_SAMN05422114	MALA_SAMN05422114_METAG_HDMCNFBK-contigs.db
Alteromonas_macleodii_SAMN05422115	MALA_SAMN05422115_METAG_EILAGLKN-contigs.db
Alteromonas_macleodii_SAMN05422121	MALA_SAMN05422121_METAG_EKAOPGOL-contigs.db
Alteromonas_macleodii_SAMN05422122	MALA_SAMN05422122_METAG_JKIINEFM-contigs.db
Alteromonas_macleodii_SAMN05422123	MALA_SAMN05422123_METAG_AHNLNHFL-contigs.db
Alteromonas_macleodii_SAMN05422128	MALA_SAMN05422128_METAG_GFOMCGFD-contigs.db
Alteromonas_macleodii_SAMN05422130	MALA_SAMN05422130_METAG_LKGLPHMF-contigs.db
Alteromonas_macleodii_SAMN05422133	MALA_SAMN05422133_METAG_NBFINJIH-contigs.db
Alteromonas_macleodii_SAMN05422138	MALA_SAMN05422138_METAG_COKPJGJJ-contigs.db
Alteromonas_macleodii_SAMN05422143	MALA_SAMN05422143_METAG_FOMAMBOG-contigs.db
Alteromonas_macleodii_SAMN05422149	MALA_SAMN05422149_METAG_GLMHGCOP-contigs.db
Alteromonas_macleodii_SAMN05422152	MALA_SAMN05422152_METAG_HBNHKFJL-contigs.db
Alteromonas_macleodii_SAMN05422164	MALA_SAMN05422164_METAG_ENHHGIGI-contigs.db
Alteromonas_macleodii_SAMN05422168	MALA_SAMN05422168_METAG_KJDAIKNE-contigs.db
Alteromonas_macleodii_SAMN05422183	MALA_SAMN05422183_METAG_FCADMKDN-contigs.db
Alteromonas_macleodii_SAMN05422188	MALA_SAMN05422188_METAG_NPFLJJIF-contigs.db
Alteromonas_macleodii_SAMN05422191	MALA_SAMN05422191_METAG_FAHFBJCK-contigs.db
Alteromonas_macleodii_SAMN05422195	MALA_SAMN05422195_METAG_GNIPIPMH-contigs.db
Alteromonas_macleodii_SAMN05422226	MALA_SAMN05422226_METAG_LFOGBKLO-contigs.db
Alteromonas_macleodii_SAMN05578452	MARD_SAMN05578452_REFG_MMP05578452-contigs.db
Alteromonas_macleodii_SAMN07136589	BGEO_SAMN07136589_METAG_DDMJICEB-contigs.db
Alteromonas_macleodii_SAMN07136711	BGEO_SAMN07136711_METAG_NHALNJBN-contigs.db
Alteromonas_macleodii_SAMN07136718	BGEO_SAMN07136718_METAG_FMLMDJCG-contigs.db
Alteromonas_macleodii_Te101	2841458974.db
Alteromonas_mediterranea_AltCH17	GCF_009759785.1.db
Alteromonas_mediterranea_AR43	2721755611.db
Alteromonas_mediterranea_CP48	2718218105.db
Alteromonas_mediterranea_CP49	2721755798.db
Alteromonas_mediterranea_DE	642555105.db
Alteromonas_mediterranea_PT11	GCF_006517095.1.db
Alteromonas_mediterranea_PT15	GCF_006517115.1.db
Alteromonas_mediterranea_RG65	2721755799.db
Alteromonas_mediterranea_U10	2687453526.db
Alteromonas_mediterranea_UM8	2687453642.db
Alteromonas_naphthalenivorans_SAMEA4396515	TARA_SAMEA4396515_METAG_LLIFOMKD-contigs.db
Alteromonas_naphthalenivorans_SAMEA4397023	TARA_SAMEA4397023_METAG_BMLDLMJI-contigs.db
Alteromonas_naphthalenivorans_SAMEA4397091	TARA_SAMEA4397091_METAG_OHBHGPGP-contigs.db
Alteromonas_naphthalenivorans_SAMEA4397516	TARA_SAMEA4397516_METAG_ODHMDPHJ-contigs.db
Alteromonas_naphthalenivorans_SAMEA4397536	TARA_SAMEA4397536_METAG_JOOLCOKF-contigs.db
Alteromonas_naphthalenivorans_SAMEA4398193	TARA_SAMEA4398193_METAG_IINLEEHA-contigs.db
Alteromonas_naphthalenivorans_SAMN07136711	BGEO_SAMN07136711_METAG_EOPKMDLC-contigs.db
Alteromonas_naphthalenivorans_SN2	2504136012.db
Alteromonas_oceani_S35	2855655360.db
Alteromonas_ponticola_MYP5	2899554215.db
Alteromonas_portus_HB161718	2899550177.db
Alteromonas_sediminis_U0105	2899565944.db
Alteromonas_sp_07_89_2	2915794133.db
Alteromonas_sp_76_1	GCF_900654235.1.db
Alteromonas_sp_ALT199	2524614846.db
Alteromonas_sp_B31_7	GCF_015767655.1.db
Alteromonas_sp_BL110	GCF_003443615.1.db
Alteromonas_sp_BZK5	2698537011.db
Alteromonas_sp_CPC327	2802429354.db
Alteromonas_sp_EAC37	2802429356.db
Alteromonas_sp_I10	2710724218.db
Alteromonas_sp_IN32	2802429353.db
Alteromonas_sp_KC14	GCF_016756335.1.db
Alteromonas_sp_KC3	GCF_016756315.1.db
Alteromonas_sp_KS69	2899561542.db
Alteromonas_sp_KUL106	2899557523.db
Alteromonas_sp_KUL150	2899569661.db
Alteromonas_sp_KUL17	2899573643.db
Alteromonas_sp_KUL42	2902028997.db
Alteromonas_sp_KUL49	2885134237.db
Alteromonas_sp_LMIT006	GCF_024300645.1.db
Alteromonas_sp_LOR	2857284938.db
Alteromonas_sp_LTR	2751185844.db
Alteromonas_sp_Mac1	2687453355.db
Alteromonas_sp_Mac2	2687453434.db
Alteromonas_sp_MB_3u_76	2775506997.db
Alteromonas_sp_MED668	2802429358.db
Alteromonas_sp_Mex14	2718217925.db
Alteromonas_sp_NP15	2802429386.db
Alteromonas_sp_RKMC_009	2841454579.db
Alteromonas_sp_RW2A1	2721755521.db
Alteromonas_sp_SAMEA2591074_BGMPHGLH	TARA_SAMEA2591074_METAG_BGMPHGLH-contigs.db
Alteromonas_sp_SAMEA2621216	TARA_SAMEA2621216_METAG_KOELIADL-contigs.db
Alteromonas_sp_SAMEA2621487	TARA_SAMEA2621487_METAG_JEJEPAEM-contigs.db
Alteromonas_sp_SAMEA2621779_BKOBJOML	TARA_SAMEA2621779_METAG_BKOBJOML-contigs.db
Alteromonas_sp_SAMEA2621839	TARA_SAMEA2621839_METAG_MGLIPNEN-contigs.db
Alteromonas_sp_SAMEA2622048	TARA_SAMEA2622048_METAG_IMLALHCJ-contigs.db
Alteromonas_sp_SAMEA2622097	TARA_SAMEA2622097_METAG_HBPMPIGL-contigs.db
Alteromonas_sp_SAMEA2622149	TARA_SAMEA2622149_METAG_PCNPJDCB-contigs.db
Alteromonas_sp_SAMEA2622197	TARA_SAMEA2622197_METAG_GALLFCOI-contigs.db
Alteromonas_sp_SAMEA2622376	TARA_SAMEA2622376_METAG_LCDBHBPD-contigs.db
Alteromonas_sp_SAMEA2622652	TARA_SAMEA2622652_METAG_NHABKKKL-contigs.db
Alteromonas_sp_SAMEA2622658	TARA_SAMEA2622658_METAG_OHKNJPFH-contigs.db
Alteromonas_sp_SAMEA2622676	TARA_SAMEA2622676_METAG_BIMHMBHP-contigs.db
Alteromonas_sp_SAMEA2622677	TARA_SAMEA2622677_METAG_JBANDMDG-contigs.db
Alteromonas_sp_SAMEA2622695	TARA_SAMEA2622695_METAG_NDMJOCCC-contigs.db
Alteromonas_sp_SAMEA2622716	TARA_SAMEA2622716_METAG_LLMPBKJB-contigs.db
Alteromonas_sp_SAMEA2622765	TARA_SAMEA2622765_METAG_KBIKNAHF-contigs.db
Alteromonas_sp_SAMEA2622923	TARA_SAMEA2622923_METAG_HGEKPCMK-contigs.db
Alteromonas_sp_SAMN05326649	TARA_SAMN05326649_METAG_SOC00002-contigs.db
Alteromonas_sp_SAMN05422120	MALA_SAMN05422120_METAG_NDMHKPKD-contigs.db
Alteromonas_sp_SAMN07136715	BGEO_SAMN07136715_METAG_KOEDIAMF-contigs.db
Alteromonas_sp_SAMN10134660	MARD_SAMN10134660_REFG_MMP10134660-contigs.db
Alteromonas_sp_SAMN10233659	MARD_SAMN10233659_REFG_MMP10233659-contigs.db
Alteromonas_sp_TK_46_2__DSM_26665	2731958078.db
Alteromonas_sp_V450	2855651425.db
Alteromonas_stellipolaris_LMG_21861	2687453500.db
Alteromonas_stellipolaris_LMG21856	2684623042.db
Alteromonas_stellipolaris_PQQ_42	2684623167.db
Alteromonas_stellipolaris_PQQ_44	2687453219.db
Alteromonas_stellipolaris_R10SW13	2687453643.db
